Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting,Dry rootss;Discoloration;Health;Wilted,Die-back;;No Fusarium ciricnatum circinatum, FSPecondary fungi & bacterium isolated
Melmoth;Kwazulu-Natal;Eucalyptu;grandi;Seed/Cuttings;D;F;Dry rootss;Discoloration;TooDry;Leaf spots, Too dry;;FSPecondary fungi & bacterium isolated
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;Well developed,J-rooting, Healthy;Discoloration,  Outer bark, Cambium, Swelling;Health;Alive;Discoloration,Wilted;No Fusarium ciricnatum,Pythium orPhytophthora
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting,Dry rootss, Healthy;Discoloration,  Outer bark, Cambium;Health;Alive;Wilted;No Fusarium ciricnatum,Pythium orPhytophthora
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;Well developed,J-rooting, Healthy;Discoloration,  Outer bark, Cambium;Discolorationn,Outer bark,Cambium;SomeDry??????y??, Others Alive;Discoloration;No Fusarium ciricnatum,Pythium orPhytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Mostly Healthy;Discoloration Pink colour,  Outer bark;Health;Alive;Wilted, Stunted;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dryome alive, some Healthy;Healthyy;Health;Alive;Wilted, Stunted;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;Identified as Fusarium ciricnatumFSPRootFSP,Fusarium oxysporum &Phytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;SlightDiscoloration;Identified as Fusarium ciricnatumFSPRootFSP & Rhizoctonia sp
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;Healthy;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy,J-rooting, Plug bound;Healthyy;Health;Alive;;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Healthy;Healthyy;Health;Alive;;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting,Dry rootss, Healthy, Plug bound;Healthyy;Health;Alive,Wilted;;No Fusarium ciricnatum,Pythium orPhytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Well developed, Healthy, Plug bound;Healthyy;Health;Alive;;No Fusarium ciricnatum,Pythium orPhytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Healthy;Healthyy;Health;Alive;;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;No Fusarium ciricnatum,Pythium orPhytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dry rootss;Discoloration;Health;Die-back;;Identified as Fusarium ciricnatumFSPRootFSP 
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dry rootss;Discoloration;Discolorationn;Die-back;;No Fusarium ciricnatum,Pythium orPhytophthora
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dry rootss;Discoloration;Discolorationn;Die-back;;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;Dry rootss;Discoloration;Discolorationn;Die-back;;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting;Discoloration;Discolorationn;Wilted,Die-back;;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting, Healthy, Plug bound;Healthyy;Health;Alive;;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting,Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Health;Alive;;NA
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead,Discoloration;;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting,Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Between outer and inner bark;Dead, Scorch,Discoloration;;Identified as Fusarium ciricnatumFSPRootFSP
Karatara;Western Cape;Pinus;radiata;Soil, Seed/Cuttings;A;F;J-rooting, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead, Scorch,Discoloration;;Identified as Fusarium ciricnatumFSPRootFSP
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Lothair;Mpumalanga;;;Soil;;F;;;;;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed,J-rooting, Healthy, Plug bound;Discoloration,  Outer bark;Health;Alive,Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;J-rooting,Dry rootss, Healthy, Plug bound;Discoloration,  Outer bark;Health;Alive,Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed,J-rooting, Healthy, Plug bound;Discoloration,  Outer bark;Health;Alive,Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;J-rooting,Dry rootss, Healthy, Plug bound;Discoloration,  Outer bark, Between outer & inner bark;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy, Plug bound;Discoloration,  Outer bark, Between outer & inner bark;Health;Alive,Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy, Plug bound;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Health;Alive,Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Healthy,J-rooting, Plug bound;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy,J-rooting, Plug bound;Discoloration,  Outer bark;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Healthy,J-rooting,Dry rootss, Plug bound;Discoloration,  Outer bark, Between outer & inner bark;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Well developed, Healthy,J-rooting, Plug bound;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss, White mycelium;Healthyy;Health;Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Wilted;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss;Healthyy;Health;Alive;;NA
Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Wilted;;NA
Melmoth;Kwazulu-Natal;Eucalyptu;grandi;Seed/Cuttings;D;F;J-rooting,Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Cambium,Between outer and inner bark;Dead;;no pathogens identified,FSPecondary fungi isolated
Melmoth;Kwazulu-Natal;Eucalyptu;grandi;Seed/Cuttings;;F;J-rooting,Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;;;no pathogens identified,FSPecondary fungi isolated
Melmoth;Kwazulu-Natal;Eucalyptu;grandi;Seed/Cuttings;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Cambium;Dead;;no pathogens identified,FSPecondary fungi isolated
Melmoth;Kwazulu-Natal;Eucalyptu;grandi;Seed/Cuttings;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;no pathogens identified,FSPecondary fungi isolated
Karatara;Western Cape;;;Water;;F;;;;;;NA
Karatara;Western Cape;;;Soil;;F;;;;;;No Fusarium ciricnatum,Phytophthora orPythium
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Alive;;NA
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Between outer and inner bark;Dead;;Identified as Fusarium ciricnatumFSPRootFSP
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;Identified as Fusarium ciricnatumFSPRootFSP
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting, Healthy;Discoloration,  Outer bark;Discolorationn,Outer bark,Between outer and inner bark;Alive;;NA
Ixopo;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;F;J-rooting, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Between outer and inner bark;Alive;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark;Health;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium;Health;Alive;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium;Dry;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium;Dry;Alive;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed,Drying;Discoloration,  Outer bark, Cambium;Dry;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed,Drying;Discoloration Pink & Blue/Black,  Outer bark, Cambium;Dry;Alive;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration Blue/Black,  Outer bark, Cambium;Dry;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Healthyy;Health;Alive;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium;Discolorationn,Outer bark,Cambium;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Healthyy;Health;Alive;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration, Cambium;Discolorationn,Outer bark,Cambium;Dead;Discoloration;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Healthyy;Health;NA;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Ugie;Western Cape;Pinus;greggi,patula;Seed/Cuttings, Water;;F;Dry rootss, Healthy;Discoloration,  Outer bark, Cambium, Between outer & inner bark;Discolorationn,Outer bark,Cambium,Between outer and inner bark;Dead;;NA
Scottsville;Western Cape;Eucalyptu;;Seed/Cuttings;D;F;Healthy;Healthyy;Health;Dead;;FSPrytis identified on Eucalyptus samples
Western Cape;Moringa;GU;Seedlings/Cuttings;D;;Healthy;Healthy;Healthy;Wilted, Dead;;FSPrytis identified on Eucalyptus samples;
Scottsville;Western Cape;NA;;Seed/Cuttings;D;F;Healthy;Healthyy;Health;Alive;;FSPrytis identified on Eucalyptus samples
Western Cape;Moringa;GU;Seedlings/Cuttings;D;;Healthy, Few roots;Healthy,FSPwelling;Healthy;;;FSPrytis identified on Eucalyptus samples;
Scottsville;Western Cape;NA;;Seed/Cuttings;D;F;Healthy,Dry rootss;;;;;FSPrytis identified on Eucalyptus samples
Western Cape;Moringa;GU;Seedlings/Cuttings;D;;Healthy, Few roots;Healthy;Healthy;;;FSPrytis identified on Eucalyptus samples;
Piet Retief;Mpumalanga;Eucalyptu;benthamii;roots, Seed/Cuttings;D;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium, Swelling;;;;NoPhytophthora orPythium identified
Mpumalanga;Eucalyptus;benthamii;Roots,FSPeedlings/Cuttings;D;F;Few roots, Dead;Discoloration, Outer bark, Cambium,FSPwelling;;;;NoPhytophthora orPythium identified;
Piet Retief;Mpumalanga;Eucalyptu;benthamii;roots, Seed/Cuttings;D;F;Well developed, Healthy;Discoloration,  Outer bark, Cambium, Swelling;;;;NoPhytophthora orPythium identified
Mpumalanga;Eucalyptus;nitens;Roots, FSPwigs/Branches;D;F;Well developed, J-rooting, Dead;Girdling, Discoloration;;;;NoPhytophthora orPythium identified;
Mpumalanga;Eucalyptus;nitens;Roots, FSPwigs/Branches;D;F;Well developed, J-rooting, Dead;Girdling, Discoloration;;;;NoPhytophthora orPythium identified;
Mpumalanga;Eucalyptus;nitens;Roots, FSPwigs/Branches;D;F;Well developed, J-rooting, Dead;Girdling, Discoloration;;;;NoPhytophthora orPythium identified;
Mpumalanga;Acacia;karroo;Stems,FSPs, FSPwigs/Branches, Leaves/Needles;D;F;;;Kino/Gum/Resin Exudation;Alive,FSPtarting to die;;No Fusarium ciricnatum circinatumgraminearum,FSPecondary /general fungi were isolated;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration;Wilted;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration;Wilted;;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting, Few roots;Discoloration;Healthy;Wilted, Die-back;;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration;Wilted, Die-back;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration;Wilted, Die-back;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration;Wilted, Die-back;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Discoloration, Dry;Wilted, Die-back;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting;Discoloration;Healthy;Wilted, Die-back;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;J-rooting, Few roots;Discoloration;Healthy;Wilted, Die-back;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;Few roots;Discoloration;Healthy;Die-back;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, Dead;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Dead, Discoloration;;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Discoloration, Outer bark, Between outer & inner bark;Healthy;Alive, Wilted;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Dead, Discoloration;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Dead, Discoloration;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;;Dead, Discoloration;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Dead, Discoloration;;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;Well developed, J-rooting, Dead;Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Dead, Discoloration;;No Fusarium ciricnatum circinatumorDiplodia;
Mpumalanga;;;Soil, FSPwigs/Branches, Insects;;;;;;;;Identified as Fusarium ciricnatumFSPRootFSP in Pack 3, All other samples had secondary fungi;
Mpumalanga;;;Soil, FSPwigs/Branches, Insects;;;;;;;;Identified as Fusarium ciricnatumFSPRootFSP in Pack 3, All other samples had secondary fungi;
Mpumalanga;;;Soil, FSPwigs/Branches, Insects;;;;;;;;Identified as Fusarium ciricnatumFSPRootFSP in Pack 3, All other samples had secondary fungi;
Mpumalanga;;;Soil, FSPwigs/Branches, Insects;;66;;;;;;Identified as Fusarium ciricnatumFSPRootFSP in Pack 3, All other samples had secondary fungi;
Swaziland;Percea sp;;Soil,FSPs;D;;Discloration under bark;No root collar;;Alive;;Identified Armilaria ;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;Dead;Dying, Larvae in dead branches;No aphids were found from the P elliottii samples;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;;Lady bird larvae;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;Dead;Leaf spots;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Mpumalanga;Pinus;patula, taeda, elliottii;FSPwigs/Branches, Leaves/Needles;D;;;;;Dead;Leaf spots, Wilting, Dead;Recovered endophytes:  Pestalotiopsis,  Alternaria, Cladosporium sp & Fusarium;
Kwazulu-Natal;Pinus;patula x tecunumanii;Hedges;D;;J-rooting, Few roots;Healthy;Healthy;Wilted;;No Fusarium ciricnatum circinatumcircinatum, IdentifiedFusarium oxysporum & F solani;
Kwazulu-Natal;Pinus;patula x tecunumanii;Hedges;D;;J-rooting;Discoloration, Outer bark;Healthy;Wilted;;No Fusarium ciricnatum circinatumcircinatum, IdentifiedFusarium oxysporum & F solani;
Kwazulu-Natal;Pinus;patula x tecunumanii;Hedges;D;;J-rooting;Discoloration, Outer bark;Healthy;Wilted;;No Fusarium ciricnatum circinatumcircinatum, IdentifiedFusarium oxysporum & F solani;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;IdentifiedDiplodia;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;IdentifiedDiplodia;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;IdentifiedDiplodia;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
Kwazulu-Natal;Pinus;;Seeds;;;;;;;;All samples tested negative for Fusarium ciricnatum;
